rep_seq	S1	S2	S3
S1_CAIHDJAA_00002	3.6887	NA	NA
S1_CAIHDJAA_00003	5.9035	NA	NA
S1_CAIHDJAA_00004	4.7602	NA	NA
S1_CAIHDJAA_00005	3.0282	NA	NA
S1_CAIHDJAA_00006	6.4925	NA	NA
S1_CAIHDJAA_00007	3.3862	NA	NA
S1_CAIHDJAA_00008	4.8084	NA	NA
S1_CAIHDJAA_00009	372.4003	NA	NA
S1_CAIHDJAA_00010	4.5411	NA	NA
S1_CAIHDJAA_00011	28.639	NA	NA
S1_CAIHDJAA_00012	28.0538	NA	NA
S1_CAIHDJAA_00013	5.2065	NA	NA
S1_CAIHDJAA_00014	6.906	NA	NA
S1_CAIHDJAA_00015	5.1212	NA	NA
S1_CAIHDJAA_00016	4.2696	NA	NA
S1_CAIHDJAA_00017	106.6826	NA	NA
S1_CAIHDJAA_00018	82.9753	NA	NA
S1_CAIHDJAA_00019	32.4242	NA	NA
S1_CAIHDJAA_00020	73.197	NA	NA
S1_CAIHDJAA_00021	5.0234	NA	NA
S1_CAIHDJAA_00022	4.9406	NA	NA
S1_CAIHDJAA_00023	4.4444	NA	NA
S1_CAIHDJAA_00024	103.4619	NA	NA
S1_CAIHDJAA_00025	4.9733	NA	NA
S1_CAIHDJAA_00026	51.6384	NA	NA
S1_CAIHDJAA_00027	3.982	NA	NA
S1_CAIHDJAA_00028	283.9285	NA	NA
S1_CAIHDJAA_00029	5.3333	NA	NA
S1_CAIHDJAA_00030	4.0051	NA	NA
S1_CAIHDJAA_00031	8.2353	NA	NA
S1_CAIHDJAA_00032	5.1461	NA	NA
S1_CAIHDJAA_00033	6.4611	NA	NA
S1_CAIHDJAA_00034	3.746	NA	NA
S1_CAIHDJAA_00035	13.4012	NA	NA
S1_CAIHDJAA_00036	3.9007	NA	NA
S1_CAIHDJAA_00037	3.8237	NA	NA
S1_CAIHDJAA_00038	3.7953	NA	NA
S1_CAIHDJAA_00039	9.8711	NA	NA
S1_CAIHDJAA_00040	72.4492	NA	NA
S1_CAIHDJAA_00042	2.6026	NA	NA
S1_CAIHDJAA_00043	5.9376	NA	NA
S1_CAIHDJAA_00044	105.6116	NA	NA
S1_CAIHDJAA_00045	84.4252	NA	NA
S1_CAIHDJAA_00046	99.1274	NA	NA
S1_CAIHDJAA_00047	102.6246	NA	NA
S1_CAIHDJAA_00048	66.9662	NA	NA
S1_CAIHDJAA_00049	5.178	NA	NA
S1_CAIHDJAA_00050	3.8561	NA	NA
S1_CAIHDJAA_00051	107.8677	NA	NA
S1_CAIHDJAA_00052	121.812	NA	NA
S1_CAIHDJAA_00053	4.0274	NA	NA
S1_CAIHDJAA_00054	3.1522	NA	NA
S1_CAIHDJAA_00055	3.1333	NA	NA
S1_CAIHDJAA_00056	3.7778	NA	NA
S1_CAIHDJAA_00057	95.7024	NA	NA
S1_CAIHDJAA_00058	91.9438	NA	NA
S1_CAIHDJAA_00059	93.3201	NA	NA
S1_CAIHDJAA_00060	98.53	NA	NA
S1_CAIHDJAA_00061	101.4217	NA	NA
S1_CAIHDJAA_00062	86.3971	NA	NA
S1_CAIHDJAA_00063	98.4263	NA	NA
S1_CAIHDJAA_00064	93.5071	NA	NA
S1_CAIHDJAA_00065	85.7418	NA	NA
S1_CAIHDJAA_00066	101.7237	NA	NA
S1_CAIHDJAA_00067	94.3045	NA	NA
S1_CAIHDJAA_00068	94.5686	NA	NA
S1_CAIHDJAA_00069	99.0592	NA	NA
S1_CAIHDJAA_00070	99.834	NA	NA
S1_CAIHDJAA_00071	110.6415	NA	NA
S1_CAIHDJAA_00072	110.8449	NA	NA
S1_CAIHDJAA_00073	102.1381	NA	NA
S1_CAIHDJAA_00074	103.5	NA	NA
S1_CAIHDJAA_00075	89.7107	NA	NA
S1_CAIHDJAA_00076	5.9452	NA	NA
S1_CAIHDJAA_00077	195.5054	NA	NA
S1_CAIHDJAA_00078	186.2882	NA	NA
S1_CAIHDJAA_00079	156.2928	NA	NA
S1_CAIHDJAA_00080	74.9883	NA	NA
S1_CAIHDJAA_00081	93.4819	NA	NA
S1_CAIHDJAA_00083	92.9096	NA	NA
S1_CAIHDJAA_00086	13.9826	NA	NA
S1_CAIHDJAA_00087	5.4123	NA	NA
S1_CAIHDJAA_00088	5.3878	NA	NA
S1_CAIHDJAA_00089	8.5307	NA	NA
S1_CAIHDJAA_00090	3.6919	NA	NA
S1_CAIHDJAA_00091	4.7039	NA	NA
S1_CAIHDJAA_00092	4.7042	NA	NA
S1_CAIHDJAA_00093	104.6208	NA	NA
S1_CAIHDJAA_00094	85.6538	NA	NA
